Profit,Age,Purchase History,Customer Segment,Property Value
509.97,67,93,Mass Customer,10
75.14,67,93,Mass Customer,10
431.33,67,93,Mass Customer,10
57.73,67,93,Mass Customer,10
75.75,67,93,Mass Customer,10
709.34,67,93,Mass Customer,10
25.02,67,93,Mass Customer,10
90.1,67,93,Mass Customer,10
189.28,67,93,Mass Customer,10
908.77,67,93,Mass Customer,10
110.56,67,93,Mass Customer,10
1230.3,40,81,Mass Customer,10
547.28,40,81,Mass Customer,10
448.68,40,81,Mass Customer,10
227.26,59,33,Mass Customer,9
41.13,59,33,Mass Customer,9
691.01,43,56,Affluent Customer,4
129.01,43,56,Affluent Customer,4
1230.27,43,56,Affluent Customer,4
75.48,43,56,Affluent Customer,4
75.75,43,56,Affluent Customer,4
309.81,43,56,Affluent Customer,4
1055.82,54,35,High Net Worth,9
1660.88,54,35,High Net Worth,9
1028.76,54,35,High Net Worth,9
57.73,54,35,High Net Worth,9
143.36,54,35,High Net Worth,9
15.08,44,6,Affluent Customer,9
90.1,44,6,Affluent Customer,9
114.93,44,6,Affluent Customer,9
1702.55,58,31,Mass Customer,4
400.65,58,31,Mass Customer,4
448.68,58,31,Mass Customer,4
451.65,58,31,Mass Customer,4
1305.25,58,31,Mass Customer,4
451.65,58,31,Mass Customer,4
128.46,58,31,Mass Customer,4
309.81,58,31,Mass Customer,4
1702.55,58,31,Mass Customer,4
209.84,58,31,Mass Customer,4
908.77,47,97,Affluent Customer,12
91.15,47,97,Affluent Customer,12
198.22,47,97,Affluent Customer,12
531.96,47,97,Affluent Customer,12
547.28,47,97,Affluent Customer,12
434.14,47,97,Affluent Customer,12
451.65,66,99,Mass Customer,8
547.28,66,99,Mass Customer,8
1103.43,66,99,Mass Customer,8
374.09,66,99,Mass Customer,8
1103.43,66,99,Mass Customer,8
133.78,66,99,Mass Customer,8
133.78,26,58,Mass Customer,4
309.81,26,58,Mass Customer,4
1660.88,26,58,Mass Customer,4
35.13,26,58,Mass Customer,4
90.1,26,58,Mass Customer,4
90.1,26,58,Mass Customer,4
1230.27,26,58,Mass Customer,4
167.21,65,38,High Net Worth,6
1630.25,65,38,High Net Worth,6
198.29,65,38,High Net Worth,6
434.14,65,38,High Net Worth,6
1305.25,65,38,High Net Worth,6
133.78,65,38,High Net Worth,6
691.01,65,38,High Net Worth,6
75.75,37,85,Affluent Customer,8
1592.19,37,85,Affluent Customer,8
573.45,37,85,Affluent Customer,8
45.96,37,85,Affluent Customer,8
64.51,20,91,Mass Customer,9
25.02,20,91,Mass Customer,9
144.26,20,91,Mass Customer,9
145.94,20,91,Mass Customer,9
1230.3,20,91,Mass Customer,9
167.21,20,91,Mass Customer,9
456.45,43,38,Mass Customer,4
129.01,43,38,Mass Customer,4
1592.19,43,38,Mass Customer,4
641.64,43,38,Mass Customer,4
1702.55,43,38,Mass Customer,4
133.38,58,57,Affluent Customer,9
198.29,58,57,Affluent Customer,9
448.68,58,57,Affluent Customer,9
1055.82,58,57,Affluent Customer,9
227.26,58,57,Affluent Customer,9
182.81,53,79,Affluent Customer,12
1103.43,53,79,Affluent Customer,12
583.27,53,79,Affluent Customer,12
641.64,53,79,Affluent Customer,12
70.92,53,79,Affluent Customer,12
509.97,53,79,Affluent Customer,12
471.6,53,79,Affluent Customer,12
1592.19,19,76,High Net Worth,9
1344.33,19,76,High Net Worth,9
144.26,19,76,High Net Worth,9
1702.55,40,72,Mass Customer,8
812.44,40,72,Mass Customer,8
641.64,40,72,Mass Customer,8
451.65,40,72,Mass Customer,8
182.81,40,74,Affluent Customer,7
709.34,40,74,Affluent Customer,7
90.1,40,74,Affluent Customer,7
1702.55,40,74,Affluent Customer,7
1544.61,40,74,Affluent Customer,7
128.46,43,55,Mass Customer,10
583.27,43,55,Mass Customer,10
25.02,43,55,Mass Customer,10
509.97,43,55,Mass Customer,10
1305.25,43,55,Mass Customer,10
450.77,43,55,Mass Customer,10
573.45,43,55,Mass Customer,10
693.76,43,55,Mass Customer,10
167.21,44,72,Mass Customer,3
1055.82,44,72,Mass Customer,3
15.08,44,72,Mass Customer,3
133.78,44,72,Mass Customer,3
91.15,44,72,Mass Customer,3
434.14,44,72,Mass Customer,3
91.15,44,72,Mass Customer,3
201.35,44,72,Mass Customer,3
1279.4,44,72,Mass Customer,3
145.94,44,72,Mass Customer,3
1230.27,44,72,Mass Customer,3
693.76,44,72,Mass Customer,3
573.45,42,12,Mass Customer,5
139.23,42,12,Mass Customer,5
129.01,42,12,Mass Customer,5
737.57,42,37,Mass Customer,7
133.78,42,37,Mass Customer,7
209.84,42,37,Mass Customer,7
155.65,42,37,Mass Customer,7
400.65,42,37,Mass Customer,7
70.92,42,37,Mass Customer,7
1630.25,42,37,Mass Customer,7
459.46,47,5,Affluent Customer,4
1230.3,47,5,Affluent Customer,4
4.8,47,5,Affluent Customer,4
198.29,47,5,Affluent Customer,4
90.1,47,5,Affluent Customer,4
1531.93,47,5,Affluent Customer,4
1344.33,52,62,Mass Customer,7
139.23,52,62,Mass Customer,7
1660.88,52,62,Mass Customer,7
908.77,52,62,Mass Customer,7
693.76,52,62,Mass Customer,7
1028.76,52,62,Mass Customer,7
75.48,52,62,Mass Customer,7
139.23,52,62,Mass Customer,7
471.6,52,62,Mass Customer,7
827.16,59,18,Affluent Customer,11
145.94,59,18,Affluent Customer,11
1702.55,59,18,Affluent Customer,11
25.02,58,3,High Net Worth,12
201.35,58,3,High Net Worth,12
189.28,58,3,High Net Worth,12
75.14,58,3,High Net Worth,12
357.74,25,17,Affluent Customer,9
641.64,25,17,Affluent Customer,9
617.67,25,17,Affluent Customer,9
70.92,25,17,Affluent Customer,9
709.34,25,17,Affluent Customer,9
797.61,25,17,Affluent Customer,9
41.13,25,17,Affluent Customer,9
195.34,63,44,Affluent Customer,9
812.44,63,44,Affluent Customer,9
201.35,63,44,Affluent Customer,9
745.94,63,44,Affluent Customer,9
456.45,63,44,Affluent Customer,9
1660.88,63,44,Affluent Customer,9
1279.4,63,44,Affluent Customer,9
903.11,57,40,High Net Worth,6
1279.4,57,40,High Net Worth,6
693.76,57,40,High Net Worth,6
830.24,57,40,High Net Worth,6
189.28,43,33,Affluent Customer,8
15.08,43,33,Affluent Customer,8
445.21,35,46,High Net Worth,1
1702.55,35,46,High Net Worth,1
1344.33,35,46,High Net Worth,1
15.08,35,46,High Net Worth,1
189.28,35,46,High Net Worth,1
309.81,35,46,High Net Worth,1
227.26,35,46,High Net Worth,1
921.46,35,46,High Net Worth,1
1544.61,35,46,High Net Worth,1
25.02,65,37,Affluent Customer,4
691.01,65,37,Affluent Customer,4
217.51,65,37,Affluent Customer,4
1344.33,65,37,Affluent Customer,4
908.77,41,5,Mass Customer,10
797.61,41,5,Mass Customer,10
198.29,41,5,Mass Customer,10
309.81,41,5,Mass Customer,10
133.38,41,5,Mass Customer,10
1344.33,41,5,Mass Customer,10
110.81,41,5,Mass Customer,10
583.27,41,5,Mass Customer,10
70.92,41,5,Mass Customer,10
374.09,41,5,Mass Customer,10
1544.61,41,5,Mass Customer,10
198.22,41,5,Mass Customer,10
1279.4,39,91,Affluent Customer,8
15.08,39,91,Affluent Customer,8
903.11,39,91,Affluent Customer,8
797.61,39,91,Affluent Customer,8
1344.33,39,91,Affluent Customer,8
448.68,39,91,Affluent Customer,8
35.13,44,64,Mass Customer,9
70.92,44,64,Mass Customer,9
1028.76,44,64,Mass Customer,9
448.68,44,64,Mass Customer,9
1630.25,44,64,Mass Customer,9
227.26,44,64,Mass Customer,9
709.34,44,64,Mass Customer,9
167.21,44,64,Mass Customer,9
459.46,44,64,Mass Customer,9
114.93,43,24,Mass Customer,10
145.94,43,24,Mass Customer,10
143.36,43,24,Mass Customer,10
64.51,43,24,Mass Customer,10
90.1,37,38,Mass Customer,8
45.96,37,38,Mass Customer,8
4.8,37,38,Mass Customer,8
1630.25,37,38,Mass Customer,8
145.94,37,38,Mass Customer,8
509.97,37,38,Mass Customer,8
90.1,37,38,Mass Customer,8
450.77,37,38,Mass Customer,8
693.76,37,38,Mass Customer,8
64.51,39,63,Affluent Customer,2
1702.55,39,63,Affluent Customer,2
451.65,39,63,Affluent Customer,2
400.65,39,63,Affluent Customer,2
1806.79,39,63,Affluent Customer,2
531.96,39,63,Affluent Customer,2
143.36,39,63,Affluent Customer,2
834.94,45,64,Mass Customer,3
25.02,45,64,Mass Customer,3
195.34,45,64,Mass Customer,3
641.64,48,98,Affluent Customer,6
