Profit,Transaction ID,Product ID,Customer ID,Date,Online,Status,Brand,Product Line,Product Class,Size,List Price,Cost
17.87,1,2,2950,25-02-2017,False,Approved,Solex,Standard,medium,medium,71.49,53.62
1702.55,2,3,3120,21-05-2017,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
1544.61,3,37,402,16-10-2017,False,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82
817.36,4,88,3135,31-08-2017,False,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1
1055.82,5,78,787,01-10-2017,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
709.34,6,25,2339,08-03-2017,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
15.08,7,22,1542,21-04-2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
1279.4,8,15,2459,15-07-2017,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44
690.49,9,67,1305,10-08-2017,False,Approved,Solex,Standard,medium,large,1071.23,380.74
1069.55,10,12,3262,30-08-2017,True,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6
114.93,11,5,1986,17-01-2017,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71
14.23,12,61,2783,05-01-2017,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93
903.11,13,35,1243,26-02-2017,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4
182.81,14,16,2717,10-09-2017,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11
1055.82,15,12,247,11-06-2017,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
1702.55,16,3,2961,10-10-2017,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
737.57,17,79,2426,03-04-2017,False,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01
144.26,18,33,1842,02-06-2017,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
1279.4,19,54,2268,06-04-2017,True,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44
709.34,20,25,3002,28-01-2017,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
110.81,21,27,1582,09-10-2017,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72
1544.61,22,37,595,29-06-2017,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82
1544.61,23,37,2001,08-04-2017,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82
709.34,24,82,515,18-10-2017,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
1305.25,25,89,2822,11-06-2017,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74
872.89,26,64,2596,10-01-2017,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55
872.89,27,64,2666,11-04-2017,True,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55
114.93,28,19,76,23-12-2017,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71
90.1,29,72,3368,13-10-2017,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3
128.46,30,91,1173,15-03-2017,False,Approved,WeareA2B,Standard,low,medium,642.31,513.85
817.36,31,88,2810,05-09-2017,True,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1
448.68,32,1,3214,18-02-2017,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
709.34,33,25,1272,20-03-2017,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
189.28,34,99,2003,28-02-2017,True,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42
167.21,35,0,2171,20-08-2017,False,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84
155.65,36,92,3356,07-07-2017,False,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36
737.17,37,14,1040,09-01-2017,False,Approved,Solex,Standard,high,large,1842.92,1105.75
17.87,38,2,2916,06-12-2017,False,Approved,Solex,Standard,medium,medium,71.49,53.62
1069.55,39,12,427,12-09-2017,False,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6
167.21,40,0,2448,28-11-2017,True,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84
